geneID,Puncta in P1 (2-cell),Puncta in P2 (4-cell),Puncta in P3 (8-cell),Puncta in P4 (28-cell),Pattern consistent with enrichment in Z2/Z3 (100-cell),Group,Additional comments on RNA localization,Group I RNAi results,"avg_mRNA_fpm from Lee et al., 2020","avg_Rb_fpm from Lee et al., 2020",TE (ave_Rb_fpm / avg_mRNA_fpm),WBgene,Embryonic lethality in N2 or rrf-3 (data from Wormbase)
epg-4,+,-,+,+,+,Group I,RNA localizes to puncta in somatic cells,not significantly sterile in N2 or grif-1(ax4524),36.35695872,15.75771377,0.433416719,WBGene00018150,Embryonic lethal
epg-8,+,+,+,+,+,Group I,Enrichment in ~100-cell is weak,not significantly sterile in N2 or grif-1(ax4524),9.527928689,33.85291664,3.553019522,WBGene00013695,Embryonic lethal
F13B12.6,+,+,+,+,+,Group I,Enrichment in ~100-cell is weak,not significantly sterile in N2 or grif-1(ax4524),90.28191248,123.3573215,1.366356982,WBGene00008733,
F13D12.5,+,+,+,+,+,Group I,Enrichment in ~100-cell is weak,not significantly sterile in N2 or grif-1(ax4524),19.5343809,2.924464234,0.14970857,WBGene00008740,
F30F8.1,+,+,+,-,+,Group I,,not significantly sterile in N2 or grif-1(ax4524),54.72093567,33.82652219,0.618164177,WBGene00009270,
F35G2.1,+,+,+,+,+,Group I,,not significantly sterile in N2 or grif-1(ax4524),24.1152604,10.83535616,0.449315329,WBGene00009435,
F44E2.8,+,+,+,+,+,Group I,Enrichment in ~100-cell is weak,not significantly sterile in N2 or grif-1(ax4524),105.0615101,150.6225444,1.433660569,WBGene00018421,
F56C9.3,+,+,+,+,+,Group I,RNA localizes to puncta in somatic cells,not significantly sterile in N2 or grif-1(ax4524),31.08197611,13.73104046,0.44176858,WBGene00018948,
F56D1.1,+,+,+,+,+,Group I,RNA localizes to puncta in somatic cells,,32.40572957,6.011480366,0.185506713,WBGene00018959,
F58B3.6,+,+,+,+,+,Group I,,not significantly sterile in N2 or grif-1(ax4524),134.0790743,94.68468831,0.706185427,WBGene00010232,
fath-1,+,-,+,+,+,Group I,,not significantly sterile in N2 or grif-1(ax4524),39.14540412,16.00525725,0.408866829,WBGene00007707,
gld-3,+,+,+,+,+,Group I,"RNA localizes to puncta in somatic cells, Enrichment in ~100-cell is weak",synthetic sterility in grif-1(ax4524) strain,195.4001767,288.912115,1.478566293,WBGene00001597,Embryonic lethal
glp-1,+,+,+,+,+,Group I,Enrichment in ~100-cell is weak,"no F1 worms, could not count sterility in either N2 or grif-1(ax4524)",90.56001313,23.95923752,0.264567514,WBGene00001609,Embryonic lethal
gras-1,+,+,+,-,+,Group I,,not significantly sterile in N2 or grif-1(ax4524),30.01169322,15.65471815,0.521620624,WBGene00009272,Embryonic lethal
grif-1,+,+,+,-,+,Group I,,not significantly sterile in N2 or grif-1(ax4524),163.9925685,124.0967997,0.756722093,WBGene00021763,
